2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 405, Response Time: 3ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 405, Response Time: 4ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 405, Response Time: 4ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 405, Response Time: 3ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 405, Response Time: 3ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 405, Response Time: 3ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 405, Response Time: 2ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 405, Response Time: 2ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 405, Response Time: 2ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 405, Response Time: 2ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 405, Response Time: 2ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 405, Response Time: 4ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 29 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 29 bytes, Response Data Size: 8192 bytes, Status: 415, Response Time: 2ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 31 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 31 bytes, Response Data Size: 8192 bytes, Status: 415, Response Time: 3ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 32 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 32 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 32 bytes, Response Data Size: 8192 bytes, Status: 415, Response Time: 2ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 32 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 30 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 32 bytes, Response Data Size: 8192 bytes, Status: 415, Response Time: 3ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 32 bytes, Response Data Size: 8192 bytes, Status: 415, Response Time: 2ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 30 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 32 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 30 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 30 bytes, Response Data Size: 8192 bytes, Status: 415, Response Time: 5ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 32 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 30 bytes, Response Data Size: 8192 bytes, Status: 415, Response Time: 2ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 32 bytes, Response Data Size: 8192 bytes, Status: 415, Response Time: 2ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 30 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 30 bytes, Response Data Size: 8192 bytes, Status: 415, Response Time: 6ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 32 bytes, Response Data Size: 8192 bytes, Status: 415, Response Time: 6ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 30 bytes, Response Data Size: 8192 bytes, Status: 415, Response Time: 3ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 32 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 30 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 32 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 32 bytes, Response Data Size: 8192 bytes, Status: 415, Response Time: 2ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 30 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 30 bytes, Response Data Size: 8192 bytes, Status: 415, Response Time: 2ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 32 bytes, Response Data Size: 8192 bytes, Status: 415, Response Time: 4ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: 27 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 30 bytes, Response Data Size: 8192 bytes, Status: 415, Response Time: 4ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: POST, Location: unknown, Event: Response, Request Data Size: 27 bytes, Response Data Size: 8192 bytes, Status: 415, Response Time: 8ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: POST, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 405, Response Time: 2ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 405, Response Time: 2ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 405, Response Time: 2ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 405, Response Time: 3ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 405, Response Time: 1ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 405, Response Time: 2ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: HTTP/1.0, Location: unknown, Event: Request, Request Data Size: -1 bytes, Response Data Size: 0 bytes, Status: N/A, Response Time: 0ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
2024-11-18 21:50:46 - IP: 0:0:0:0:0:0:0:1, User: null, Endpoint: /generate-token, Protocol: GET, Location: unknown, Event: Response, Request Data Size: -1 bytes, Response Data Size: 8192 bytes, Status: 405, Response Time: 2ms, User Agent: User-Agent: Mozilla/5.0 (Hydra), Request Method: GET, Error Message: N/A
